2,12,"(0.4476389908055487, -0.7003005810160978, -0.4513069823006397, 0.07383150469343547)",2,80
2,13,"(-0.48725047952823725, -0.8091148008593638, -0.5586656802859029, 0.010742688532819206)",2,80
2,14,"(-0.8948826449344847, -0.8961591354710889, -0.5019986788604383, 0.07383150469343547)",8,340
2,15,"(0.7035514640580038, -0.7426507454598916, -0.5730676689979157, 0.8886672370589701)",4,160
2,16,"(-0.4140734756006639, -0.7246436976889137, 0.5196527785372163, 0.8334248653117848)",2,80
2,17,"(-0.7862878731283496, 0.6417642255589319, -0.3409351534230772, -0.00029969617205610755)",0,0
2,18,"(-0.7871799952688561, -0.4537460013979991, -0.5730676689979157, 0.8886672370589701)",40,1700
2,19,"(-1.0458406268347846, -0.04439410891311296, -0.5732837262264782, 1.169485467202488)",27,1140
3,0,"(-0.7871799952688561, -0.20181273426549673, -0.4513069823006397, 0.07383150469343547)",67,2840
3,1,"(-0.7871799952688561, -0.20181273426549673, -0.5730676689979157, 0.8886672370589701)",13,600
3,2,"(-0.7871799952688561, -0.4537460013979991, -0.5730676689979157, 0.8886672370589701)",21,840
3,3,"(-1.0458406268347846, -0.04439410891311296, -0.5732837262264782, 1.169485467202488)",11,480
3,4,"(-0.7871799952688561, -0.8961591354710889, -0.5019986788604383, 0.07383150469343547)",1,40
3,5,"(-0.8948826449344847, -0.20181273426549673, -0.4513069823006397, 0.07383150469343547)",9,380
3,6,"(-0.7871799952688561, -0.04439410891311296, -0.4513069823006397, 1.169485467202488)",78,4740
3,7,"(-1.0458406268347846, -0.20181273426549673, -0.5732837262264782, 0.07383150469343547)",69,3180
3,8,"(-0.7871799952688561, -0.20181273426549673, -0.5730676689979157, 0.07383150469343547)",1,40
3,9,"(-0.7871799952688561, -0.20181273426549673, -0.4513069823006397, 0.8886672370589701)",21,940
3,10,"(-0.933488491109644, -0.20181273426549673, -0.4513069823006397, 1.1195043161666771)",12,520
3,11,"(-1.0458406268347846, -0.15778309590785805, -0.2977733173358678, 1.169485467202488)",77,5360
3,12,"(-0.7831273494159161, -0.13141331108890852, -0.46570502802843766, 0.055695749273421746)",15,640
3,13,"(-0.5601196382035589, -0.8961591354710889, -0.45019792505464173, 0.21937568037923283)",14,560
3,14,"(-0.8588300191944696, -0.06645836867242688, -0.5470154698516239, 0.35698926135070624)",5,200
3,15,"(-0.7702356791706493, -0.8961591354710889, -0.5019986788604383, -0.10297383559266565)",7,280
3,16,"(-0.7871799952688561, -0.8136865253681004, -0.5019986788604383, 0.15442668976545065)",6,240
3,17,"(-0.8948826449344847, -0.023696959576996413, -0.4513069823006397, 0.07383150469343547)",6,240
3,18,"(-0.688521340793329, -0.015562221166978196, -0.5730676689979157, 0.07383150469343547)",3,120
3,19,"(-0.7871799952688561, -0.20181273426549673, -0.4513069823006397, 0.035770384914026954)",13,780
4,0,"(-1.0458406268347846, -0.15778309590785805, -0.2977733173358678, 1.169485467202488)",19,860
4,1,"(-0.7871799952688561, -0.04439410891311296, -0.4513069823006397, 1.169485467202488)",77,3580
4,2,"(-1.0458406268347846, -0.20181273426549673, -0.5732837262264782, 0.07383150469343547)",51,2580
4,3,"(-0.7871799952688561, -0.20181273426549673, -0.4513069823006397, 0.07383150469343547)",78,3880
4,4,"(-0.7871799952688561, -0.20181273426549673, -0.4513069823006397, 0.8886672370589701)",78,3260
4,5,"(-0.7831273494159161, -0.20181273426549673, -0.4513069823006397, 0.055695749273421746)",7,300
4,6,"(-0.7871799952688561, -0.13141331108890852, -0.46570502802843766, 0.07383150469343547)",14,620
4,7,"(-1.0458406268347846, -0.15778309590785805, -0.4513069823006397, 1.169485467202488)",8,340
4,8,"(-0.7871799952688561, -0.04439410891311296, -0.2977733173358678, 1.169485467202488)",7,300
4,9,"(-0.7871799952688561, -0.15778309590785805, -0.5730676689979157, 1.169485467202488)",8,340
4,10,"(-1.0458406268347846, -0.20181273426549673, -0.2977733173358678, 0.07383150469343547)",23,1220
4,11,"(-0.7871799952688561, -0.20181273426549673, -0.46854170841156, 0.07383150469343547)",41,2840
4,12,"(-0.6740132072810123, 0.024162209069465035, -0.39948728163302405, 0.8886672370589701)",0,0
4,13,"(-0.7871799952688561, -0.1441285302852731, -0.4513069823006397, 1.169485467202488)",17,700
4,14,"(-0.7057777495247124, -0.37388266330742603, -0.46570502802843766, 0.07383150469343547)",20,880
4,15,"(-1.006498924709837, -0.02422022684322478, -0.5730676689979157, 1.2553599076983735)",17,720
4,16,"(-1.0458406268347846, -0.19609884472677547, -0.3859296087402574, 0.07383150469343547)",7,320
4,17,"(-0.648869637216205, -0.04439410891311296, -0.4513069823006397, 0.9313373248123918)",75,3500
4,18,"(-0.8717595171901334, -0.27947369437349956, -0.4513069823006397, 1.0256866221742282)",77,3400
4,19,"(-0.7871799952688561, -0.15778309590785805, -0.5730676689979157, 0.9212440652105358)",75,5260
5,0,"(-0.7871799952688561, -0.15778309590785805, -0.5730676689979157, 0.9212440652105358)",14,760
